"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"K20950",52.9353619754565,1.77062281996357,1.05101995351923,1.68467098463242,0.0920520675572088,0.176504084315758
"K08159",116.478015577333,-0.898789959431555,0.533689052024096,-1.68410792018828,0.0921608139875665,0.176652080783702
"K10800",5.20813508619786,3.9199992756773,2.32820840932944,1.68369775659659,0.0922400951347459,0.176743516764523
"K10007",518.926053566382,-0.672404779576725,0.399517980468566,-1.68304009443608,0.0923673299828301,0.176926743981485
"K03925",1345.51731598631,-0.236420296964192,0.14056424317875,-1.6819376792969,0.0925809252492615,0.177275209928196
"K13640",895.600433129865,-0.634125418768338,0.377711416598566,-1.67886219717391,0.0931789034775897,0.178359207511652
"K02518",1232.77298577731,-0.154730373749024,0.0922909704884762,-1.67654942764248,0.0936306230950622,0.17916259742327
"K07476",7.75133455835595,-1.72632199187597,1.03004261842283,-1.6759714219585,0.0937437904645906,0.179306073922319
"K01468",271.574870230515,1.09602517751509,0.654015683645763,1.67583928783692,0.0937696763213555,0.179306073922319
"K20341",24.0999335203853,-1.07014509859574,0.638768387505142,-1.67532570416555,0.0938703448551488,0.17943726781225
"K03210",1336.57685026856,0.156301403410078,0.0933287348367546,1.67474040747977,0.0939851756479531,0.179595434654009
"K13684",146.949957770773,-1.21337486083274,0.725340746979219,-1.67283427256225,0.0943599258805614,0.180250001758874
"K07646",713.322089027976,0.478268104938531,0.286033358273088,1.67207107529713,0.0945103075092521,0.180475670804942
"K01239",6.3867489904861,2.88879428937418,1.73031320954279,1.66952102858736,0.0950141664577039,0.181375951454219
"K19701",42.7754495591943,2.13433320707807,1.28004620801703,1.66738762531429,0.0954373528939045,0.182121672058365
"K06374",213.455782167717,1.20354569520919,0.722078983098043,1.66677845967132,0.0955584649211228,0.182290636729218
"K18094",6.68672151406442,3.83572608099923,2.30157696303906,1.66656433506114,0.095601065592511,0.182309766310489
"K02614",248.423795492412,0.77401059373014,0.464486892593404,1.66637768701836,0.0956382121296519,0.182318485452882
"K00209",59.1317783313701,1.43068295501263,0.858991869160805,1.66553724939252,0.0958056185140619,0.182575433034799
"K02248",134.840599600585,-0.657846701639864,0.395021671791908,-1.66534331814182,0.0958442808811087,0.182586943530145
"K07660",7.79538748482742,-2.41995114325544,1.45704996598143,-1.6608566622665,0.0967422379405126,0.184234877765583
"K11065",408.835087447086,-0.406681297433437,0.244979109007034,-1.66006521569054,0.0969013336246305,0.184475089896958
"K18139",185.612963106041,1.01308224139276,0.610451115704165,1.65956325630456,0.0970023453122106,0.184536968976419
"K01011",152.893798506881,-1.0115898980703,0.609571805640877,-1.65950900075957,0.097013268455387,0.184536968976419
"K16705",22.5621744205407,-2.34056933752351,1.41057935300036,-1.65929646747277,0.0970560667627215,0.184536968976419
"K01284",400.544889359196,1.08058439009746,0.651249264194693,1.65924853893488,0.0970657203263493,0.184536968976419
"K16209",992.652441427075,-0.666630000252282,0.401859676908471,-1.65886262931555,0.0971434765922265,0.184622084375787
"K00394",106.479976563002,1.67708830757121,1.01212339770362,1.65699983952186,0.0975195075382434,0.185273823384775
"K17328",11.9043422595327,3.11282626466274,1.8790359705069,1.65660812965864,0.0975987276622653,0.185361411172616
"K05970",1407.52905394142,1.34252841404903,0.81063391780906,1.65614636219213,0.0976921824081189,0.185418971667436
"K07679",87.2068571862295,-1.32859122863887,0.80222592566009,-1.65613100517249,0.0976952916646898,0.185418971667436
"K00847",636.783919649157,0.662928890792855,0.400353549468394,1.65585865711224,0.0977504457099897,0.185460760894513
"K23537",343.568667902054,0.77604480831398,0.468762710736013,1.65551736633551,0.0978195966803933,0.185529069000394
"K02784",1766.00921951392,0.221256138707045,0.133729968936997,1.65449929036688,0.0980261073869335,0.185857765259033
"K17331",3.77050923388286,-5.97424879360637,3.61164641350849,-1.65416214922401,0.0980945711948873,0.185914991155121
"K13688",12.594717457461,-2.64837730830064,1.60117265239872,-1.65402357099536,0.0981227235791009,0.185914991155121
"K09862",55.8637251903693,-1.29832788060601,0.785376443255511,-1.65312811678465,0.09830479212775,0.186196927762781
"K11960",279.467888017847,-1.76445061245703,1.06789330808316,-1.65227237505979,0.0984790381560144,0.186426299262759
"K02617",50.3627617167984,-1.5495691298749,0.937878734891687,-1.65220627382479,0.0984925079363905,0.186426299262759
"K17327",8.99823881976588,3.23492270178889,1.95932635916547,1.65103821864916,0.0987307711793122,0.186814106251052
"K07462",1201.50774476931,0.35480150821434,0.215026911174226,1.65003304133807,0.0989361783116187,0.187139503213968
