"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"K01042",127.740167237219,-0.157008022095633,0.393030946169536,-0.399480050173726,0.689539520580212,0.828247595292415
"K16905",24.4467266271101,-0.352552876573343,0.882867299736767,-0.399327143137433,0.689652169622009,0.828247595292415
"K01284",550.675804073252,0.312820525730858,0.78338783565191,0.39931756850748,0.689659223632806,0.828247595292415
"K17203",11.4415480093664,-0.601870540180936,1.5077513393204,-0.399184218567646,0.689757470641869,0.828247595292415
"K01809",1035.22259467286,-0.104036635222474,0.260648613038176,-0.399145171001683,0.689786240348014,0.828247595292415
"K03976",1272.04111522941,-0.0432978658411166,0.10879039451364,-0.39799346288507,0.690635004445823,0.829064767879557
"K22225",0.897944803838026,-1.13259281798258,2.84631652514154,-0.397915273293881,0.690692641250936,NA
"K07778",79.7703521020072,0.304648821799022,0.767083400659311,0.397152149997217,0.691255265340706,0.829607305299328
"K23149",21.3715176661088,0.483998057235626,1.22212502263564,0.396029905509858,0.692082966646082,0.830398476776665
"K23993",0.476197632244713,-1.0157279795216,2.5687975420322,-0.395409900119278,0.692540403881788,NA
"K01775",1695.76791060601,0.0639559372428867,0.161840060337159,0.395179890007754,0.692710132854992,0.830772997670309
"K00339",101.620539459578,-0.278818263890961,0.705601099189358,-0.395149985184669,0.69273220134408,0.830772997670309
"K05575",0.20298765199714,-1.19700688117438,3.03625507954623,-0.394237918031996,0.69340539334499,NA
"K19429",0.20298765199714,-1.19700688117438,3.03625507954623,-0.394237918031996,0.69340539334499,NA
"K23160",0.20298765199714,-1.19700688117438,3.03625507954623,-0.394237918031996,0.69340539334499,NA
"K22510",0.203745043952408,-1.19700659528976,3.0362550826665,-0.394237823469867,0.693405463153363,NA
"K11014",0.228558360409554,-1.19700659528976,3.0362550826665,-0.394237823469867,0.693405463153363,NA
"K16164",0.204502435907675,-1.19700659528976,3.0362550826665,-0.394237823469867,0.693405463153363,NA
"K02773",276.199122314656,0.122617990136813,0.311111536853958,0.394128714662139,0.693486012020264,0.831431746902047
"K22390",307.625601808695,0.174302566554488,0.442449821253627,0.393948778328406,0.693618856413312,0.831431746902047
"K18197",584.65492118316,0.251479705362508,0.639604077269923,0.393180272452172,0.694186339143811,0.831777798328577
"K08999",302.692221420518,0.248753236196508,0.632797624518115,0.39310077433672,0.694245052206079,0.831777798328577
"K13995",1.39845735117559,0.812358287707961,2.06919199448725,0.392596863834893,0.694617256253193,NA
"K02008",127.682600698679,-0.166980108760354,0.425555452141444,-0.392381551969529,0.694776314786782,0.832212018367935
"K10123",0.955463354903196,1.1679238965229,2.97882005931883,0.39207601441692,0.695002049308863,NA
"K03306",149.018860823282,-0.273080210979626,0.696821394458809,-0.391894125454796,0.695136443727783,0.832441091140487
"K01187",1053.00989497315,0.108164203985912,0.276335621236703,0.391423311630393,0.695484363913551,0.832655435931478
"K20974",0.914647223846946,-1.16494880557029,2.97812240009053,-0.391168880612454,0.695672409060538,NA
"K22906",6.84641451585838,-0.392910923677766,1.00518872625956,-0.390882740139596,0.695883912425078,0.832931472642839
"K25660",3.9181676931115,-0.448902595364032,1.15101336182129,-0.390006415437018,0.696531803004628,0.833336226166853
"K21497",3.2130059714458,-0.480507785457323,1.23219272947893,-0.389961549002582,0.696564979937671,0.833336226166853
"K14645",8.40357399108112,-0.279819601701232,0.717965942827794,-0.38973938039335,0.696729273287401,0.833336226166853
